SpecKey,Class,Spec,Role,BurstVsSustain,Mobility,Control,Complexity,PrimaryResource,Feel,RotationKeywords,CoreAbilities,SpecTalents,HeroTalents,PvPTalents
DK_Blood,Death Knight,Blood,Tank,Sustain,Low,Medium,Medium,Runes/Runic Power,Juggernaut,"Bone Shield, Death Strike heals, cooldown timing",Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude,Heart Strike; Marrowrend; Dancing Rune Weapon,San’layn; Rider of the Apocalypse; Deathbringer,Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura
DK_Frost,Death Knight,Frost,DPS,Burst,Medium-High,Low,Medium,Runic Power,Icy berserker,"Obliterate,Frost Strike,proc management",Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude,Obliterate; Frost Strike; Pillar of Frost,San’layn; Rider of the Apocalypse; Deathbringer,Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura
DK_Unholy,Death Knight,Unholy,DPS,Sustain,Low-Med,Medium,High,Runic Power,Plague master,"Festering Wounds,Scourge Strike,pet play",Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude,Festering Strike; Scourge Strike; Apocalypse; Army of the Dead,San’layn; Rider of the Apocalypse; Deathbringer,Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura
DH_Havoc,Demon Hunter,Havoc,DPS,Burst,Very High,Medium,Medium,Fury,Hyper-mobile skirmisher,"Chaos Strike,Eye Beam,dashing",Double Jump; Glide; Spectral Sight; Metamorphosis; Fel Rush; Eye Beam,Chaos Strike; Blade Dance; Fel Barrage,Fel Fangs; Aldrachi Reaver,Rain from Above; Reverse Magic; Mana Break; Illidan’s Grasp; Detainment
DH_Vengeance,Demon Hunter,Vengeance,Tank,Sustain,Very High,Medium,Medium,Pain/Soul Fragments,Bruiser,"Demon Spikes,Fiery Brand",Double Jump; Glide; Spectral Sight; Metamorphosis; Fel Rush; Eye Beam,Soul Cleave; Fiery Brand; Infernal Strike,Fel Fangs; Aldrachi Reaver,Rain from Above; Reverse Magic; Mana Break; Illidan’s Grasp; Detainment
Druid_Balance,Druid,Balance,DPS,Mixed,High,Medium,High,Astral Power,Cosmic artillery,"Eclipse cycles,Solar/Lunar",Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar,Starsurge; Starfall; Celestial Alignment,Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen,Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness
Druid_Feral,Druid,Feral,DPS,Burst,High,High,High,Energy/Combo Points,Predator,"Maintain bleeds,Ferocious Bite",Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar,Rip; Ferocious Bite; Berserk,Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen,Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness
Druid_Guardian,Druid,Guardian,Tank,Sustain,Low,Low-Med,Low,Rage,Bear wall,"Ironfur,Frenzied Regeneration",Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar,Ironfur; Frenzied Regeneration; Survival Instincts,Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen,Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness
Druid_Resto,Druid,Restoration,Healer,Sustain,High,Medium,Medium-High,Mana,Nurturing HoT,"Rejuvenation,Wild Growth",Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar,Rejuvenation; Wild Growth; Tranquility,Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen,Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness
Evoker_Dev,Evoker,Devastation,DPS,Burst,Medium,Medium,Medium,Mana/Essence,Dragon-breathed caster,"Fire Breath,Eternity Surge",Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze,Fire Breath; Eternity Surge; Dragonrage,Flameshaper; Chronowarden; Scalecommander,Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop
Evoker_Pres,Evoker,Preservation,Healer,Burst/Sustain,Low-Med,High,Medium-High,Mana/Charges,Time-bending healer,"Dream Breath,Spiritbloom",Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze,Dream Breath; Spiritbloom; Rewind,Flameshaper; Chronowarden; Scalecommander,Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop
Evoker_Aug,Evoker,Augmentation,Support DPS,Sustain,Low-Med,High,Low-Med,Buff Resource,Battlefield commander,"Party buffs,uptime management",Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze,Ebon Might; Upheaval; Breath of Eons,Flameshaper; Chronowarden; Scalecommander,Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop
Hunter_BM,Hunter,Beast Mastery,DPS,Sustain,High,Low,Low,Focus,Beast tamer,"Pet-forward shots,steady cadence",Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection,Kill Command; Bestial Wrath,Pack Leader; Dark Ranger; Sentinel,Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack
Hunter_MM,Hunter,Marksmanship,DPS,Burst,High,Medium,Medium,Focus,Sniper-like burst,"Aimed Shot,Rapid Fire",Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection,Aimed Shot; Rapid Fire; Volley,Pack Leader; Dark Ranger; Sentinel,Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack
Hunter_SV,Hunter,Survival,DPS,Mixed,High,Medium,Medium,Focus,Rugged skirmisher,"Melee procs,Wildfire Bomb",Kill Shot; Arcane Shot; Disengage; Aspect of the Turtle; Misdirection,Raptor Strike; Wildfire Bomb,Pack Leader; Dark Ranger; Sentinel,Roar of Sacrifice; Survival Tactics; Tranquilizing Shot; Diamond Ice; Hunting Pack
Mage_Arcane,Mage,Arcane,DPS,Burst,Medium,Low,High,Mana,Resource-heavy nuker,"Arcane Charges,burst windows",Polymorph; Blink; Counterspell; Ice Block; Spellsteal,Arcane Blast; Arcane Barrage; Touch of the Magi,Spellslinger; Sunfury; Frostfire,Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness
Mage_Fire,Mage,Fire,DPS,Burst,Low-Med,Low,Medium-High,Mana,Glass-cannon pyromancer,"Combustion,Pyroblast chains",Polymorph; Blink; Counterspell; Ice Block; Spellsteal,Pyroblast; Combustion; Phoenix Flames,Spellslinger; Sunfury; Frostfire,Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness
Mage_Frost,Mage,Frost,DPS,Sustain/Control,Medium-High,High,Medium,Mana,Battlefield controller,"Frostbolt,Ice Lance,control",Polymorph; Blink; Counterspell; Ice Block; Spellsteal,Frostbolt; Ice Lance; Icy Veins,Spellslinger; Sunfury; Frostfire,Temporal Shield; Netherwind Armor; Kleptomania; Mass Invisibility; Concentrated Coolness
Monk_Brew,Monk,Brewmaster,Tank,Sustain,Medium,Medium,Medium,Stagger,Drunken master,"Brew juggling,stagger",Roll; Paralysis; Touch of Death; Fortifying Brew,Keg Smash; Purifying Brew,Shado-Pan; Clouded Focus; Stormstout,Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon
Monk_Mist,Monk,Mistweaver,Healer,Mixed,High,Medium,High,Mana/Chi,Calm healer,"Soothing Mist,channeling",Roll; Paralysis; Touch of Death; Fortifying Brew,Enveloping Mist; Essence Font,Shado-Pan; Clouded Focus; Stormstout,Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon
Monk_WW,Monk,Windwalker,DPS,Burst,Very High,Medium,High,Energy/Chi,Martial artist,"Chi chains,finishers",Roll; Paralysis; Touch of Death; Fortifying Brew,Rising Sun Kick; Fists of Fury,Shado-Pan; Clouded Focus; Stormstout,Alpha Tiger; Turbo Fists; Dome of Mist; Eminence; Grapple Weapon
Paladin_Holy,Paladin,Holy,Healer,Burst,Low,High,Medium,Mana/Holy Power,Radiant protector,"Holy Shock,Light of Dawn",Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings,Holy Shock; Light of Dawn,Lightsmith; Templar; Herald of the Sun,Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice
Paladin_Prot,Paladin,Protection,Tank,Sustain,Low,Medium,Medium,Rage/Holy Power,Holy bulwark,"Shield of the Righteous,Avenger",Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings,Shield of the Righteous; Avenger’s Shield,Lightsmith; Templar; Herald of the Sun,Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice
Paladin_Ret,Paladin,Retribution,DPS,Burst,Low-Med,Low,Medium,Holy Power,Crusader,"Templar's Verdict,Divine Storm",Judgment; Crusader Strike; Divine Shield; Lay on Hands; Blessings,Blade of Justice; Templar’s Verdict,Lightsmith; Templar; Herald of the Sun,Blessing of Sanctuary; Luminescence; Lawbringer; Divine Favor; Ultimate Sacrifice
Priest_Disc,Priest,Discipline,Healer,Burst via damage,Low-Med,High,High,Mana/Atonement,Battle cleric,"Atonement upkeep,damage-heal tradeoffs",Power Word: Shield; Smite; Psychic Scream; Fade,Penance; Atonement,Oracle; Voidweaver; Archon,Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal
Priest_Holy,Priest,Holy,Healer,Sustain,Low,High,Medium,Mana,Classic healer,"Holy Word,sustained heals",Power Word: Shield; Smite; Psychic Scream; Fade,Holy Word: Serenity; Prayer of Healing,Oracle; Voidweaver; Archon,Purification; Premonition; Dark Archangel; Purge the Wicked; Thoughtsteal
