Class,Spec,CoreAbilities,SpecTalents,HeroTalents,PvPTalents
Death Knight,Blood,"Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude","Heart Strike; Marrowrend; Dancing Rune Weapon","San’layn; Rider of the Apocalypse; Deathbringer","Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura"
Death Knight,Frost,"Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude","Obliterate; Frost Strike; Pillar of Frost","San’layn; Rider of the Apocalypse; Deathbringer","Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura"
Death Knight,Unholy,"Death Grip; Death Coil; Death Strike; Raise Dead; Anti-Magic Shell; Icebound Fortitude","Festering Strike; Scourge Strike; Apocalypse; Army of the Dead","San’layn; Rider of the Apocalypse; Deathbringer","Necrotic Wounds; Dark Simulacrum; Strangulate; Death Chain; Necrotic Aura"
Demon Hunter,Havoc,"Double Jump; Glide; Spectral Sight; Metamorphosis; Fel Rush; Eye Beam","Chaos Strike; Blade Dance; Fel Barrage","Fel Fangs; Aldrachi Reaver","Rain from Above; Reverse Magic; Mana Break; Illidan’s Grasp; Detainment"
Demon Hunter,Vengeance,"Double Jump; Glide; Spectral Sight; Metamorphosis; Fel Rush; Eye Beam","Soul Cleave; Fiery Brand; Infernal Strike","Fel Fangs; Aldrachi Reaver","Rain from Above; Reverse Magic; Mana Break; Illidan’s Grasp; Detainment"
Druid,Balance,"Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar","Starsurge; Starfall; Celestial Alignment","Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen","Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness"
Druid,Feral,"Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar","Rip; Ferocious Bite; Berserk","Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen","Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness"
Druid,Guardian,"Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar","Ironfur; Frenzied Regeneration; Survival Instincts","Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen","Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness"
Druid,Restoration,"Shapeshift; Rebirth; Barkskin; Cyclone; Stampeding Roar","Rejuvenation; Wild Growth; Tranquility","Keeper of the Grove; Wildstalker; Colossus; Elune’s Chosen","Thorns; Cyclone; Ferocious Wound; Overgrowth; Malorne’s Swiftness"
Evoker,Devastation,"Living Flame; Azure Strike; Deep Breath; Blessing of the Bronze","Fire Breath; Eternity Surge; Dragonrage","Flameshaper; Chronowarden; Scalecommander","Chrono Loop; Nullifying Shroud; Obsidian Mettle; Time Stop"
