SpecKey,Class,Spec,Role,BurstVsSustain,Mobility,Control,Complexity,PrimaryResource,Feel,RotationKeywords
DK_Blood,Death Knight,Blood,Tank,Sustain,Low,Medium,Medium,Runes/Runic Power,Juggernaut,"Bone Shield, Death Strike heals, cooldown timing"
DK_Frost,Death Knight,Frost,DPS,Burst,Medium-High,Low,Medium,Runic Power,Icy berserker,"Obliterate,Frost Strike,proc management"
DK_Unholy,Death Knight,Unholy,DPS,Sustain,Low-Med,Medium,High,Runic Power,Plague master,"Festering Wounds,Scourge Strike,pet play"
DH_Havoc,Demon Hunter,Havoc,DPS,Burst,Very High,Medium,Medium,Fury,Hyper-mobile skirmisher,"Chaos Strike,Eye Beam,dashing"
DH_Vengeance,Demon Hunter,Vengeance,Tank,Sustain,Very High,Medium,Medium,Pain/Soul Fragments,Bruiser,"Demon Spikes,Fiery Brand"
Druid_Balance,Druid,Balance,DPS,Mixed,High,Medium,High,Astral Power,Cosmic artillery,"Eclipse cycles,Solar/Lunar"
Druid_Feral,Druid,Feral,DPS,Burst,High,High,High,Energy/Combo Points,Predator,"Maintain bleeds,Ferocious Bite"
Druid_Guardian,Druid,Guardian,Tank,Sustain,Low,Low-Med,Low,Rage,Bear wall,"Ironfur,Frenzied Regeneration"
Druid_Resto,Druid,Restoration,Healer,Sustain,High,Medium,Medium-High,Mana,Nurturing HoT,"Rejuvenation,Wild Growth"
Evoker_Dev,Evoker,Devastation,DPS,Burst,Medium,Medium,Medium,Mana/Essence,Dragon-breathed caster,"Fire Breath,Eternity Surge"
Evoker_Pres,Evoker,Preservation,Healer,Burst/Sustain,Low-Med,High,Medium-High,Mana/Charges,Time-bending healer,"Dream Breath,Spiritbloom"
Evoker_Aug,Evoker,Augmentation,Support DPS,Sustain,Low-Med,High,Low-Med,Buff Resource,Battlefield commander,"Party buffs,uptime management"
Hunter_BM,Hunter,Beast Mastery,DPS,Sustain,High,Low,Low,Focus,Beast tamer,"Pet-forward shots,steady cadence"
Hunter_MM,Hunter,Marksmanship,DPS,Burst,High,Medium,Medium,Focus,Sniper-like burst,"Aimed Shot,Rapid Fire"
Hunter_SV,Hunter,Survival,DPS,Mixed,High,Medium,Medium,Focus,Rugged skirmisher,"Melee procs,Wildfire Bomb"
Mage_Arcane,Mage,Arcane,DPS,Burst,Medium,Low,High,Mana,Resource-heavy nuker,"Arcane Charges,burst windows"
Mage_Fire,Mage,Fire,DPS,Burst,Low-Med,Low,Medium-High,Mana,Glass-cannon pyromancer,"Combustion,Pyroblast chains"
Mage_Frost,Mage,Frost,DPS,Sustain/Control,Medium-High,High,Medium,Mana,Battlefield controller,"Frostbolt,Ice Lance,control"
Monk_Brew,Monk,Brewmaster,Tank,Sustain,Medium,Medium,Medium,Stagger,Drunken master,"Brew juggling,stagger"
Monk_Mist,Monk,Mistweaver,Healer,Mixed,High,Medium,High,Mana/Chi,Calm healer,"Soothing Mist,channeling"
Monk_WW,Monk,Windwalker,DPS,Burst,Very High,Medium,High,Energy/Chi,Martial artist,"Chi chains,finishers"
Paladin_Holy,Paladin,Holy,Healer,Burst,Low,High,Medium,Mana/Holy Power,Radiant protector,"Holy Shock,Light of Dawn"
Paladin_Prot,Paladin,Protection,Tank,Sustain,Low,Medium,Medium,Rage/Holy Power,Holy bulwark,"Shield of the Righteous,Avenger"
Paladin_Ret,Paladin,Retribution,DPS,Burst,Low-Med,Low,Medium,Holy Power,Crusader,"Templar's Verdict,Divine Storm"
Priest_Disc,Priest,Discipline,Healer,Burst via damage,Low-Med,High,High,Mana/Atonement,Battle cleric,"Atonement upkeep,damage-heal tradeoffs"
Priest_Holy,Priest,Holy,Healer,Sustain,Low,High,Medium,Mana,Classic healer,"Holy Word,sustained heals"
Priest_Shadow,Priest,Shadow,DPS,Sustain,Low,High,High,Insanity,Void cultist,"Vampiric Touch,Devouring Plague"
Rogue_Assass,Rogue,Assassination,DPS,Sustain,Very High,High,High,Energy/Combo Points,Poisoner,"Bleed maintenance,finishers"
Rogue_Outlaw,Rogue,Outlaw,DPS,Burst,Very High,Medium,Medium,Energy/Combo Points,Swashbuckler,"Roll the Bones,proc tempo"
Rogue_Sub,Rogue,Subtlety,DPS,Burst,Very High,High,High,Energy/Combo Points,Shadow assassin,"Stealth opens,Shadow Dance"
Shaman_Ele,Shaman,Elemental,DPS,Burst,Medium,Medium,Medium,Maelstrom,Stormcaller,"Lava Burst,Maelstrom procs"
Shaman_Enh,Shaman,Enhancement,DPS,Burst/Sustain,Very High,Medium,High,Maelstrom/Energy,Battle shaman,"spell:17364,weapon procs"
Shaman_Rest,Shaman,Restoration,Healer,Sustain,Low-Med,Medium,Medium,Mana,Tribal healer,"Totems,Chain Heal"
Warlock_Aff,Warlock,Affliction,DPS,Sustain,Low,High,High,Soul Shards,Plague sorcerer,"Spread DoTs,drains"
Warlock_Demo,Warlock,Demonology,DPS,Burst,Low-Med,Medium,Medium-High,Soul Shards,Warlock warlord,"Pet windows,summons"
Warlock_Des,Warlock,Destruction,DPS,Burst,Low,Low,Medium,Soul Shards,Fel pyromancer,"Chaos Bolt,shard use"
Warrior_Arms,Warrior,Arms,DPS,Burst,Low-Med,Low,Medium,Rage,Disciplined fighter,"Mortal Strike,Colossus"
Warrior_Fury,Warrior,Fury,DPS,Sustain,High,Low,Medium,Rage,Berserker,"Rampage,Recklessness"
Warrior_Prot,Warrior,Protection,Tank,Sustain,Low,Low-Med,Medium,Rage,Stalwart defender,"Shield Slam,active mitigation"
